"service_name","service_subtype","service_details","count_distinct_service_request_id"
"Shared Spaces Request","""private_lot""","""disruptive_levels_of_amplified_sound""","1"
"Shared Spaces Request","""private_lot""","""disruptive_levels_of_amplified_sound"",""other""","1"
"Shared Spaces Request","""private_lot""","""obstruction_crosswalk"",""other""","1"
"General Request","municipal_transportation_agency","parking_enforcement customer_callback","1"
"Shared Spaces Request","""private_lot""","""roof_structure""","1"
"Shared Spaces Request","""private_lot""","""trash_porta_potties_waste_management""","1"
"Shared Spaces Request","""private_lot"",""sidewalk""","""tripping_hazard""","1"
"Shared Spaces Request","""roadway""","""abandoned_parklet""","1"
"Shared Spaces Request","""roadway""","""barricades""","1"
"Shared Spaces Request","""roadway""","""barricades"",""obstruction_crosswalk"",""clear_path_of_travel""","1"
"General Request","municipal_transportation_agency","parking_enforcement compliment","1"
"MTA Parking Traffic Signs High Priority","street_cleaning","missing ok","1"
"Shared Spaces Request","""roadway"",""sidewalk"",""parking_lane""","""other""","1"
"Shared Spaces Request","""sidewalk""","""abandoned_parklet""","1"
"Shared Spaces Request","""sidewalk""","""clear_path_of_travel"",""curbramp"",""fire_hydrants""","1"
"Shared Spaces Request","""sidewalk""","""curbramp""","1"
